qualifyId,raceId,driverId,driver_ref,constructorId,constructor_ref,number,position,q1,q2,q3,q1_ms,q2_ms,q3_ms,,
143,24,12,piquet_jr,4,renault,6,15,01:18.5,01:18.4,NULL,78505,78393,0,,
144,24,7,bourdais,5,toro_rosso,14,16,01:18.9,,NULL,78916,0,0,,
145,24,16,sutil,10,force_india,20,17,01:19.1,,NULL,79108,0,0,,
146,24,21,fisichella,10,force_india,21,18,01:19.2,,NULL,79165,0,0,,
147,24,18,button,11,honda,16,19,01:23.6,,NULL,83565,0,0,,
148,24,20,vettel,5,toro_rosso,15,20,,,NULL,0,0,0,,
149,25,8,raikkonen,6,ferrari,1,1,01:15.1,01:15.2,01:16.4,75133,75161,76449,,
150,25,13,massa,6,ferrari,2,2,01:15.0,01:15.0,01:16.5,75024,75041,76490,,
151,25,1,hamilton,1,mclaren,22,3,01:15.6,01:15.3,01:16.7,75634,75293,76693,,
152,25,4,alonso,4,renault,5,4,01:15.8,01:15.5,01:16.8,75754,75483,76840,,
153,25,15,trulli,7,toyota,11,5,01:15.5,01:15.4,01:16.9,75521,75362,76920,,
154,25,5,kovalainen,1,mclaren,23,6,01:16.0,01:15.6,01:16.9,75965,75639,76944,,
155,25,9,kubica,2,bmw_sauber,4,7,01:15.7,01:15.7,01:17.0,75687,75723,77037,,
156,25,17,webber,9,red_bull,10,8,01:16.0,01:15.5,01:17.2,76020,75488,77233,,
157,25,14,coulthard,9,red_bull,9,9,01:15.8,01:15.7,01:17.4,75802,75654,77426,,
158,25,10,glock,7,toyota,12,10,01:15.7,01:15.6,01:17.6,75727,75558,77596,,
159,25,12,piquet_jr,4,renault,6,11,01:15.8,01:15.8,NULL,75848,75770,0,,
160,25,2,heidfeld,2,bmw_sauber,3,12,01:16.0,01:15.8,NULL,76006,75786,0,,
161,25,20,vettel,5,toro_rosso,15,13,01:15.9,01:15.8,NULL,75918,75816,0,,
162,25,7,bourdais,5,toro_rosso,14,14,01:16.1,01:16.0,NULL,76072,76045,0,,
163,25,3,rosberg,3,williams,7,15,01:16.1,01:16.2,NULL,76085,76235,0,,
164,25,6,nakajima,3,williams,8,16,01:16.2,,NULL,76243,0,0,,
165,25,18,button,11,honda,16,17,01:16.3,,NULL,76306,0,0,,
166,25,22,barrichello,11,honda,17,18,01:16.3,,NULL,76330,0,0,,
167,25,21,fisichella,10,force_india,21,19,01:17.0,,NULL,76971,0,0,,
168,25,16,sutil,10,force_india,20,20,01:17.1,,NULL,77053,0,0,,
169,26,5,kovalainen,1,mclaren,23,1,01:20.0,01:19.6,01:21.0,79957,79597,81049,,
